                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3899,                0.88621,                 1.1989,                0.59244,                0.43973,                0.41074,                0.24026,                 1.3853,                 1.0954,                 1.2542,             0.00047579,             0.00047579,             0.00047579
                      2,                 1.3736,                0.78455,                  1.203,                0.50097,                0.61951,                0.54155,                0.32287,                 1.3452,                0.72609,                 1.2393,              0.0009207,              0.0009207,              0.0009207
                      3,                 1.3533,                0.76161,                 1.1899,                 0.5089,                0.61536,                0.56169,                0.34229,                 1.3096,                0.67984,                 1.2265,              0.0013342,              0.0013342,              0.0013342
                      4,                 1.3317,                0.73931,                 1.1774,                0.50275,                0.63773,                0.55904,                0.34579,                  1.295,                0.67535,                 1.2144,              0.0012875,              0.0012875,              0.0012875
                      5,                  1.317,                0.72758,                 1.1685,                0.53387,                0.64388,                0.57135,                0.35331,                 1.2772,                 0.6567,                 1.2061,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.3042,                0.71277,                 1.1662,                0.54386,                0.60969,                 0.5841,                0.34889,                 1.2906,                0.65984,                 1.2113,              0.0012404,              0.0012404,              0.0012404
                      7,                 1.2976,                0.70712,                 1.1606,                0.53715,                0.67362,                0.61304,                0.39469,                 1.2629,                0.64934,                 1.1975,              0.0011932,              0.0011932,              0.0011932
                      8,                 1.2842,                0.69407,                 1.1566,                0.58055,                0.63204,                0.63039,                0.40889,                 1.2756,                0.64611,                 1.1948,              0.0011461,              0.0011461,              0.0011461
                      9,                 1.2836,                0.69623,                 1.1538,                0.54247,                0.69086,                0.63376,                  0.407,                  1.262,                0.64297,                 1.1919,              0.0010989,              0.0010989,              0.0010989
                     10,                 1.2773,                0.69097,                 1.1545,                0.56826,                0.69553,                0.62145,                0.40676,                 1.2583,                0.63298,                 1.1938,              0.0010517,              0.0010517,              0.0010517
                     11,                 1.2684,                0.67986,                 1.1467,                0.53787,                0.67717,                0.62853,                0.40919,                 1.2604,                0.62479,                 1.1916,              0.0010046,              0.0010046,              0.0010046
                     12,                  1.267,                0.67999,                  1.143,                0.54465,                0.66514,                0.62959,                0.40656,                 1.2567,                0.62908,                 1.1946,             0.00095743,             0.00095743,             0.00095743
                     13,                 1.2547,                 0.6724,                 1.1399,                0.60128,                0.61963,                0.64258,                0.42066,                 1.2443,                 0.6231,                 1.1854,             0.00091027,             0.00091027,             0.00091027
                     14,                 1.2582,                0.67401,                  1.139,                0.55313,                0.70241,                0.64745,                0.42567,                 1.2435,                0.62503,                 1.1803,             0.00086312,             0.00086312,             0.00086312
                     15,                 1.2475,                0.66536,                 1.1332,                0.53515,                0.71176,                0.64295,                0.42651,                 1.2406,                0.61555,                 1.1787,             0.00081596,             0.00081596,             0.00081596
                     16,                 1.2433,                0.66008,                 1.1361,                0.61856,                0.66364,                 0.6502,                0.42844,                 1.2294,                0.61761,                 1.1749,              0.0007688,              0.0007688,              0.0007688
                     17,                 1.2431,                0.66291,                  1.133,                0.61076,                0.64583,                 0.6628,                0.44056,                 1.2341,                0.60949,                 1.1753,             0.00072164,             0.00072164,             0.00072164
                     18,                 1.2376,                0.66036,                 1.1307,                0.57242,                0.66493,                0.66142,                0.43615,                 1.2291,                0.61172,                 1.1727,             0.00067449,             0.00067449,             0.00067449
                     19,                 1.2397,                0.65934,                 1.1292,                0.57823,                0.71165,                0.64925,                0.43443,                 1.2288,                0.61595,                 1.1742,             0.00062733,             0.00062733,             0.00062733
                     20,                 1.2272,                0.65238,                 1.1263,                0.56492,                0.69717,                0.66201,                0.44442,                  1.232,                0.60389,                 1.1728,             0.00058017,             0.00058017,             0.00058017
                     21,                 1.2424,                0.63759,                 1.1742,                0.59093,                 0.6402,                0.64005,                0.42584,                 1.2334,                0.60757,                 1.1767,             0.00053302,             0.00053302,             0.00053302
                     22,                 1.2381,                0.63748,                 1.1698,                0.67874,                0.59706,                0.66418,                0.44451,                 1.2279,                 0.6105,                 1.1713,             0.00048586,             0.00048586,             0.00048586
                     23,                   1.23,                0.63285,                 1.1644,                0.60585,                0.62384,                0.65082,                0.43693,                 1.2255,                0.61386,                 1.1709,              0.0004387,              0.0004387,              0.0004387
                     24,                  1.226,                0.63061,                 1.1639,                0.58693,                0.69083,                0.66171,                0.44491,                 1.2322,                0.60672,                 1.1721,             0.00039155,             0.00039155,             0.00039155
                     25,                 1.2178,                0.62324,                 1.1621,                0.60775,                  0.641,                0.65853,                0.43812,                 1.2214,                0.60494,                 1.1708,             0.00034439,             0.00034439,             0.00034439
                     26,                 1.2171,                0.62249,                 1.1627,                0.64466,                0.62315,                0.66747,                0.44616,                 1.2203,                0.60441,                 1.1677,             0.00029723,             0.00029723,             0.00029723
                     27,                 1.2096,                0.61662,                 1.1565,                0.55281,                0.70555,                0.67502,                0.45533,                 1.2211,                0.60241,                 1.1683,             0.00025007,             0.00025007,             0.00025007
                     28,                 1.2103,                 0.6148,                 1.1556,                0.59092,                0.68539,                0.67168,                0.45434,                 1.2208,                0.59985,                 1.1678,             0.00020292,             0.00020292,             0.00020292
                     29,                 1.2033,                0.60859,                 1.1522,                0.56364,                0.72138,                0.67069,                 0.4532,                 1.2195,                0.59776,                 1.1683,             0.00015576,             0.00015576,             0.00015576
                     30,                 1.1975,                0.60255,                 1.1521,                0.59015,                 0.6821,                0.66435,                0.45048,                 1.2211,                0.59639,                 1.1696,              0.0001086,              0.0001086,              0.0001086
